Open,High,Low,Close,Adj Close,Volume,SMA_50,EMA_50,RSI,Stoch_RSI,Williams_R,Awesome_Oscillator,MACD,MACD_Signal,MACD_Diff,TSI,KAMA,ROC,Vortex_Diff,TRIX,Mass_Index,CCI,DPO,Ichimoku_A,Ichimoku_B,Aroon_Up,Aroon_Down,Aroon_Indicator,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_PBand,Bollinger_WBand,Keltner_Channel_Center,Keltner_Channel_Upper,Keltner_Channel_Lower,Donchian_Channel_Upper,Donchian_Channel_Lower,ATR,OBV,Chaikin_MF,Force_Index,Ease_of_Movement,Volume_Price_Trend,VWAP,SMA_200,EMA_200,ADX,Vortex_Pos,Vortex_Neg,Close_lag_1,Close_lag_3,Close_lag_5,Close_lag_10,RSI_lag_1,RSI_lag_3,RSI_lag_5,RSI_lag_10,MACD_lag_1,MACD_lag_3,MACD_lag_5,MACD_lag_10,Bollinger_Mid_lag_1,Bollinger_Mid_lag_3,Bollinger_Mid_lag_5,Bollinger_Mid_lag_10
8928.5,8928.5,8756.0498046875,8809.25,8093.74072265625,4306.0,7978.73701171875,8133.594902790869,59.50090153573487,0.07639738726475169,-55.358018636586564,637.1451186236227,277.8245737206198,304.5469353966304,-26.722361676010564,26.456690364556067,8901.611182560759,4.947608635078859,0.25352399875426046,0.5658861930327173,28.152764833134707,36.379805603246176,161.64460449218677,8990.52490234375,8519.5,64.0,4.0,60.0,8554.705004882813,9657.958697168766,7451.451312596861,0.6153610438365119,25.79291025596424,8563.3033203125,8992.018383789062,8134.5882568359375,9938.0,7566.0,380.3322137963918,-472507.0,0.0006896094412023946,546814.4566749152,-200144341.65307882,-1039.5162587983984,8906.326860513262,6690.939755859375,6957.344001868907,38.286814794109375,1.1105243763038073,0.8570003775495468,8845.2998046875,8675.2001953125,8767.650390625,8999.7001953125,60.59826566672621,57.366695762232254,59.67083933285203,80.16626682019832,294.35131718342564,322.0909437340215,381.10837355438343,247.37436350913413,8512.215014648438,8412.427514648438,8303.2400390625,7952.8275146484375
8825.0498046875,8835.0,8636.599609375,8800.2001953125,8085.4287109375,5018.0,7998.96001953125,8159.736286811326,59.211024298522325,0.06602075731392101,-55.91153831388206,596.7024787454047,260.9882566881297,295.83519965493025,-34.846942966800555,25.356522703478042,8877.367172089274,0.9619920000376447,0.21334251997324694,0.551444586613629,27.735988203695882,22.167151563238658,401.16018066406286,8905.77490234375,8519.5,60.0,4.0,56.0,8598.540014648437,9667.114908273108,7529.965121023766,0.5943594042248266,24.854798414713457,8603.997485351563,9033.465063476562,8174.5299072265625,9938.0,7566.0,367.3370835698638,-477525.0,0.02241939573869609,462210.68858965946,-420978496.7484062,-1044.6712856079312,8979.777704723554,6709.091005859375,6975.6808794156095,38.02765793705331,1.0870009183867007,0.8736583984134537,8809.25,8822.75,8693.099609375,9612.650390625,59.50090153573487,60.1716123510136,57.82543046171129,85.30228164956922,277.8245737206198,307.49345229419305,351.06094464927264,341.7533113484187,8554.705004882813,8464.577514648438,8358.522509765626,8053.257543945312
8970.0,9187.0,8740.0,8908.7998046875,8185.2080078125,8425.0,8019.89201171875,8189.111326728039,61.626986911597086,0.15250409161083664,-59.90687982028521,599.433362534468,253.48640156508918,287.365440036962,-33.87903847187283,25.063221995658846,8881.141221682814,-1.010037986291427,0.199236412654066,0.5361397472188617,27.524747922236767,44.98485234069704,957.7303955078132,8864.099853515625,8519.5,56.00000000000001,4.0,52.00000000000001,8654.919995117187,9662.28330887392,7647.556681360454,0.6260120386077618,23.2783968962175,8662.671647135416,9094.381730143228,8230.961564127605,9938.0,7666.64990234375,373.0272918863021,-469100.0,0.00967314114314581,526887.977217476,1208094804.8034124,-940.7018657449917,9033.4130777263,6727.809504394531,6994.915893597419,38.497020112462636,1.1062097395251405,0.9069733268710745,8800.2001953125,8845.2998046875,8675.2001953125,9399.75,59.211024298522325,60.59826566672621,57.366695762232254,77.76931523062406,260.9882566881297,294.35131718342564,322.0909437340215,394.8187998752255,8598.540014648437,8512.215014648438,8412.427514648438,8135.997534179687
9000.0,9030.0,8775.0,8901.9501953125,8178.916015625,8282.0,8040.671015625,8217.065792162724,61.380043849317175,0.1436643606928662,-72.9612538512324,543.0260067210493,244.1737382386018,278.72709967728997,-34.55336143868817,24.755146406947116,8882.749348661322,-7.393384409419797,0.1266699121197553,0.5196620932978777,27.29757285797401,33.41885450986416,690.7199951171879,8826.012451171875,8519.5,52.0,16.0,36.0,8709.030004882812,9644.857057862422,7773.202951903202,0.6030747026469491,21.49095943991302,8718.85165201823,9154.15673014323,8283.546573893229,9938.0,7752.60009765625,364.5967710372806,-477382.0,0.0013266235508997781,443514.19978015806,-187816952.42695,-947.0695545568899,9086.910827172005,6746.4512548828125,7013.891359286126,38.93285641819987,1.067143232087187,0.9404733199674317,8908.7998046875,8809.25,8822.75,9208.099609375,61.626986911597086,59.50090153573487,60.1716123510136,71.63652866773089,253.48640156508918,277.8245737206198,307.49345229419305,416.6066152822659,8654.919995117187,8554.705004882813,8464.577514648438,8201.450024414062
8998.7001953125,8998.7001953125,8790.0498046875,8842.099609375,8123.92626953125,12628.0,8062.996005859375,8241.57692224948,59.14973017225348,0.06382663378574285,-82.59100670765544,500.51571116727973,229.32047962325123,268.8457756664822,-39.52529604323098,23.908129119394637,8881.926536554558,-5.93260874624325,0.015242234215509187,0.5006412929542651,27.146431482486555,22.350677908002915,447.70461425781286,8825.52490234375,8519.5,48.0,12.0,36.0,8760.394995117187,9602.315892791703,7918.474097442671,0.5485227379932548,19.22107161021347,8771.876643880209,9211.146736653645,8332.60655110677,9938.0,7760.0,353.4577438649748,-490010.0,-0.026739764481815854,272184.57135174266,-13424805.383497981,-1031.9715347563224,9091.617513783083,6764.78900390625,7032.082486152683,39.33756155924158,1.0247318896775066,1.0094896554619974,8901.9501953125,8800.2001953125,8845.2998046875,8924.75,61.380043849317175,59.211024298522325,60.59826566672621,63.64530084876585,244.1737382386018,260.9882566881297,294.35131718342564,406.3257996506618,8709.030004882812,8598.540014648437,8512.215014648438,8253.730029296876
8900.0,9399.0,8842.0498046875,9286.5,8532.23046875,11841.0,8095.762001953125,8282.55429784754,68.34676062081405,0.5381693696533605,-49.09939017299775,510.63629940257306,250.52071580497613,265.180763694181,-14.660047889204861,25.888129106400015,8947.117965744965,0.8514285677924094,-0.08818540582804124,0.49027802286421746,27.12767789478063,82.81218837678753,97.5625,8882.0,8519.5,44.0,8.0,36.0,8827.1875,9611.538005377153,8042.836994622847,0.7927979881769442,17.77124379372599,8829.64414876302,9267.219270833333,8392.069026692709,9938.0,7855.7998046875,367.99291896836945,-478169.0,0.02211117448106466,985036.0647858686,1063712796.8943025,-436.8476096863834,9028.057456251738,6785.337504882813,7054.51450121584,40.41648304735973,0.9758367786691581,1.0640221844971993,8842.099609375,8908.7998046875,8809.25,8767.650390625,59.14973017225348,61.626986911597086,59.50090153573487,59.67083933285203,229.32047962325123,253.48640156508918,277.8245737206198,381.10837355438343,8760.394995117187,8654.919995117187,8554.705004882813,8303.2400390625
9350.0,10390.0,9300.0,9796.599609375,9000.9013671875,70904.0,8138.404990234375,8341.928623789794,75.23807845382075,1.0,-33.35770759016554,671.2998678768381,304.9673572558422,273.13808240651326,31.829274849328954,30.29272061542427,9206.014926038863,9.768896712793076,0.10092671073434345,0.4970386281932148,27.426565756793767,217.03084639964158,-150.17458496093786,9245.64990234375,8745.5,100.0,4.0,96.0,8917.824975585938,9710.323228003712,8125.326723168164,1.0544331682171373,17.77335291032001,8922.92664388021,9405.291756184897,8440.56153157552,10390.0,7899.0,420.52913904205735,-407265.0,-0.027228046757735363,6011188.441691459,1113728219.0642455,3457.8492839899213,9312.626310516487,6807.462502441406,7081.798930152747,42.46434211849259,0.9994326432143524,0.898505932480009,9286.5,8901.9501953125,8800.2001953125,8693.099609375,68.34676062081405,61.380043849317175,59.211024298522325,57.82543046171129,250.52071580497613,244.1737382386018,260.9882566881297,351.06094464927264,8827.1875,8709.030004882812,8598.540014648437,8358.522509765626
9850.0,9967.2001953125,9570.0,9654.7001953125,8870.5244140625,22410.0,8180.8269921875,8393.409861888724,70.63135690409705,0.7422291476141942,-41.33451252035305,776.1684125114898,332.8299594672826,285.0764578186671,47.7535016486155,32.21204132842941,9301.446551147397,10.11730355530596,0.15498165906692762,0.510327078473777,27.46314764020785,162.50105915115148,-309.8678710937493,9245.64990234375,8745.5,96.0,8.0,88.0,9002.96748046875,9724.792958313294,8281.142002624205,0.9514475692863469,16.03527902128914,9010.779150390625,9504.45927734375,8517.0990234375,10390.0,7903.0,418.86278591851755,-429675.0,-0.05451743340232562,4698166.397286876,-135413012.640756,3133.2503419143973,9365.664714511151,6828.624252929688,7107.399937766278,44.36592554168738,1.0657030576254731,0.9107213985585455,9796.599609375,8842.099609375,8908.7998046875,8675.2001953125,75.23807845382075,59.14973017225348,61.626986911597086,57.366695762232254,304.9673572558422,229.32047962325123,253.48640156508918,322.0909437340215,8917.824975585938,8760.394995117187,8654.919995117187,8412.427514648438
9700.0,9862.2001953125,9630.0,9685.4501953125,8898.7763671875,20043.0,8225.552998046875,8444.078110258284,71.0450950951859,0.7653800250940653,-39.605916576361146,890.0957792394292,353.3196910065326,298.7251044562402,54.59458655029238,33.83472462254694,9377.034307143349,11.415382665894084,0.23209396086458967,0.5268799552864558,27.43938036077495,137.33847573593007,-392.34228515625,9270.812377929688,8745.5,92.0,4.0,88.0,9067.54248046875,9790.956897282365,8344.128063655135,0.9270772744379459,15.9561296431052,9080.657486979166,9546.697623697915,8614.617350260418,10390.0,8220.0,405.52974373237345,-409632.0,-0.0996437213383198,4115045.8048173226,-26066479.042714413,3197.0868399445735,9414.906399785797,6849.591003417969,7133.052179134897,46.131681577511124,1.11979948248015,0.8877055216155604,9654.7001953125,9286.5,8901.9501953125,8822.75,70.63135690409705,68.34676062081405,61.380043849317175,60.1716123510136,332.8299594672826,250.52071580497613,244.1737382386018,307.49345229419305,9002.96748046875,8827.1875,8709.030004882812,8464.577514648438
9710.0,9760.150390625,9500.0,9566.900390625,8789.8564453125,17793.0,8268.55400390625,8488.110356547175,67.11928354927007,0.5457097503500975,-46.27013483794962,984.5725743910843,355.88949977581433,310.1579835201551,45.731516255659244,33.932604771979584,9401.762660998,10.278727582497927,0.2895950487549509,0.5408884173747438,27.427963336993262,97.88158969614456,-287.3200195312493,9292.299926757812,8745.5,88.0,4.0,84.0,9110.07001953125,9845.799881698502,8374.340157363997,0.8104606694555372,16.152013334472898,9132.6125,9583.99013671875,8681.23486328125,10390.0,8518.0,395.1455042247039,-427425.0,-0.17849556446852305,3225845.450585607,-169639316.96146822,2979.3007141302505,9457.367443943689,6870.453005371094,7157.2695742741025,47.16706413895669,1.1488059353549986,0.8592108866000477,9685.4501953125,9796.599609375,8842.099609375,8845.2998046875,71.0450950951859,75.23807845382075,59.14973017225348,60.59826566672621,353.3196910065326,304.9673572558422,229.32047962325123,294.35131718342564,9067.54248046875,8917.824975585938,8760.394995117187,8512.215014648438
