Open,High,Low,Close,Adj Close,Volume,SMA_50,EMA_50,RSI,Stoch_RSI,Williams_R,Awesome_Oscillator,MACD,MACD_Signal,MACD_Diff,TSI,KAMA,ROC,Vortex_Diff,TRIX,Mass_Index,CCI,DPO,Ichimoku_A,Ichimoku_B,Aroon_Up,Aroon_Down,Aroon_Indicator,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_PBand,Bollinger_WBand,Keltner_Channel_Center,Keltner_Channel_Upper,Keltner_Channel_Lower,Donchian_Channel_Upper,Donchian_Channel_Lower,ATR,OBV,Chaikin_MF,Force_Index,Ease_of_Movement,Volume_Price_Trend,VWAP,SMA_200,EMA_200,ADX,Vortex_Pos,Vortex_Neg,Close_lag_1,Close_lag_3,Close_lag_5,Close_lag_10,RSI_lag_1,RSI_lag_3,RSI_lag_5,RSI_lag_10,MACD_lag_1,MACD_lag_3,MACD_lag_5,MACD_lag_10,Bollinger_Mid_lag_1,Bollinger_Mid_lag_3,Bollinger_Mid_lag_5,Bollinger_Mid_lag_10
581.2999877929688,604.5499877929688,580.25,601.7000122070312,590.4336547851562,1822832,656.1399987792969,634.6161600628063,43.62510643038549,1.0,-51.75674026076858,-52.01294376148894,-19.59231303229808,-21.258550017312075,1.6662369850139953,-38.04336134168164,588.6983292382109,-0.824130525696082,-0.24071977524788235,-0.5090492836788276,24.626057274656414,-32.14381973902784,-0.485015869140625,613.0625,660.125,4.0,92.0,-88.0,598.5350036621094,621.2017201583344,575.8682871658843,0.5698162114801449,7.57406546235049,599.4891682942709,612.3016743977865,586.6766621907552,640.0,566.0,15.379398816123523,50407505,-0.21877672384464555,1898257.1925050295,22962.48025321269,-350465.37252379564,599.3405703778852,672.1182485961914,686.751428700867,33.52925191512643,0.79696341599052,1.0376831912384024,578.4000244140625,584.5999755859375,595.9500122070312,601.0,29.705687310908132,25.937595203510156,29.669652734547086,30.759945835052534,-21.862959945125567,-20.9305976261644,-21.167921228567025,-24.04693066414177,598.3725036621094,606.5550018310547,615.5475036621094,641.1824981689454
601.9000244140625,607.2999877929688,597.0,601.0999755859375,589.8448486328125,1383893,654.1289978027344,633.3017998872429,43.38683845509688,0.9892421837410045,-39.1154193902204,-47.306326473460445,-17.637908109887576,-20.534421635827176,2.8965135259396,-34.132776373946875,588.7761673105944,0.5099887727151975,-0.3271316591222825,-0.4957785004756362,24.712013811711607,16.540633682533525,2.3649963378906023,611.0625,660.125,4.0,88.0,-84.0,598.6350036621094,621.328439150358,575.9415681738608,0.5543102415036397,7.581726878456169,599.7750010172526,611.9600077311198,587.5899943033854,640.0,566.0,15.01658374304104,49023612,-0.288555080014475,1508450.9536221265,7256.694049427615,-351845.43977130903,593.3499123620174,670.7474984741211,685.8991754360419,32.48271216723794,0.8579847769861401,1.1851164361084225,601.7000122070312,567.75,590.9000244140625,602.7999877929688,43.62510643038549,21.476747548593053,27.953374990824884,31.884106330039614,-19.59231303229808,-22.070762012102932,-20.886522085935894,-23.462079166097055,598.5350036621094,602.1175018310547,610.6225036621094,635.9924987792969
609.0,619.0,607.7000122070312,615.4500122070312,603.9261474609375,2101679,652.8059985351563,632.6017297821365,50.36832694109115,1.0,-6.6980901754127355,-39.652353443818924,-14.760945114180686,-19.379726331497878,4.618781217317192,-28.33190252902365,589.4293961684061,2.404328154248128,-0.0192728375213016,-0.47326855920743294,24.520639698391875,104.0870244421844,3.3449829101562045,610.875,656.8500061035156,4.0,84.0,-80.0,599.4550048828125,623.3048867768359,575.6051229887892,0.8353267616857034,7.957188345999645,600.6516682942708,612.4766743977864,588.8266621907552,640.0,566.0,15.222543790971145,51125291,-0.2955429457511395,5601410.905359493,6021.852110648397,-301672.1377571387,594.4371015017388,669.4429986572266,685.1981887372458,30.649759469470176,0.9558596582563263,0.975132495777628,601.0999755859375,578.4000244140625,584.5999755859375,602.6500244140625,43.38683845509688,29.705687310908132,25.937595203510156,31.83772818955177,-17.637908109887576,-21.862959945125567,-20.9305976261644,-22.748450949523544,598.6350036621094,598.3725036621094,606.5550018310547,631.0450012207032
620.0,625.0,609.9000244140625,611.6500244140625,600.1973876953125,1404596,651.8639990234375,631.7800942775061,48.657164307441334,0.940772963277524,-22.627077264300848,-28.487648100011484,-12.64183130770516,-18.032147326739334,5.390316019034174,-24.233701981208835,589.9940052695395,1.4681547445772825,0.17359156080540095,-0.44566206509379025,24.12017864688217,102.40152205953568,2.6075195312499773,610.25,656.0,4.0,80.0,-76.0,600.0425048828125,624.4789598866738,575.6060498789512,0.7375041619051502,8.144908004020044,601.3558349609375,613.4158386230469,589.2958312988281,640.0,566.0,15.213788919183028,49720695,-0.3104411054400503,4038716.8254434606,4407.672531125012,-310344.5685771697,595.531764186784,668.2969989013671,684.4663662066669,28.54303847115286,1.0261618940020987,0.8525703331966977,615.4500122070312,601.7000122070312,567.75,598.5,50.36832694109115,43.62510643038549,21.476747548593053,30.51490668327679,-14.760945114180686,-19.59231303229808,-22.070762012102932,-22.261154995785546,599.4550048828125,598.5350036621094,602.1175018310547,626.0425018310547
610.4000244140625,610.4000244140625,602.0,602.9500122070312,591.6602783203125,900075,650.1629992675781,630.649502823762,44.89646784557007,0.8106071315387526,-37.37286066604873,-19.37381986730236,-11.531508572050598,-16.732019575801587,5.200511003750989,-21.972677379608314,590.1314004707931,0.04977811014948827,0.07687588234590348,-0.4175639637883852,23.85691913309756,28.40001701377877,-1.537506103515625,605.6000061035156,656.0,32.0,76.0,-44.0,600.0375061035156,624.4715389732992,575.6034732337321,0.5595993735262055,8.144168529881298,601.2366689046223,612.8691731770833,589.6041646321614,640.0,566.0,14.816377168817274,48820620,-0.2897682512214343,2343091.066488159,-10499.155587945797,-323147.0915473031,595.7867110767229,667.180998840332,683.6552582066705,27.080641390509278,0.9767228925392419,0.8998470101933385,611.6500244140625,601.0999755859375,578.4000244140625,597.1500244140625,48.657164307441334,43.38683845509688,29.705687310908132,30.077127129759532,-12.64183130770516,-17.637908109887576,-21.862959945125567,-21.733372400757503,600.0425048828125,598.6350036621094,598.3725036621094,620.8550018310547
605.0,606.3499755859375,592.5,598.5499877929688,587.3425903320312,1465695,648.2819995117187,629.3906983127505,43.08284984604177,0.7478338931882309,-44.83052916445975,-14.831321447035862,-10.881183492280115,-15.561852359097294,4.680668866817179,-20.68515756137213,590.1868685242437,0.00835217927631579,-0.059354522497948925,-0.39086970493667483,23.184982151408786,-12.12647328121641,-2.3024810791015398,605.6000061035156,656.0,28.000000000000004,72.0,-44.0,599.452505493164,623.4365959544034,575.4684150319247,0.48118507554718726,8.001998570848535,600.7375020345052,612.6575063069661,588.8174977620442,640.0,566.0,14.74734848432586,47354925,-0.3160146498367115,1087064.6593370882,-6402.008789611491,-333842.99278787716,595.751135356892,666.0894989013672,682.808439595589,26.26810584179733,0.8882745712266346,0.9476290937245835,602.9500122070312,615.4500122070312,601.7000122070312,595.9500122070312,44.89646784557007,50.36832694109115,43.62510643038549,29.669652734547086,-11.531508572050598,-14.760945114180686,-19.59231303229808,-21.167921228567025,600.0375061035156,599.4550048828125,598.5350036621094,615.5475036621094
595.0,596.9500122070312,590.0499877929688,595.5,584.3497314453125,649101,646.4509997558594,628.0616513200937,41.82171034003061,0.7041831294526001,-50.0,-13.262790994083161,-10.49097131933729,-14.547676151145295,4.056704831808004,-20.00696008554408,590.234440170033,-0.27631656143387795,-0.11349365796086708,-0.36644947780696296,22.699626097647794,-44.16405071112986,-2.619992065429642,599.25,656.0,24.0,68.0,-44.0,598.5700042724609,621.7588252138493,575.3811833310725,0.4338042179845932,7.748073166336994,599.7666687011719,611.6116729736328,587.921664428711,640.0,566.0,14.301109306874013,46705824,-0.3031647233326106,648948.261374103,-6298.335763541678,-337150.56971007166,595.4419545039378,664.9514990234375,681.9396989030955,25.649372610144724,0.8767867792728893,0.9902804372337564,598.5499877929688,611.6500244140625,601.0999755859375,590.9000244140625,43.08284984604177,48.657164307441334,43.38683845509688,27.953374990824884,-10.881183492280115,-12.64183130770516,-17.637908109887576,-20.886522085935894,599.452505493164,600.0425048828125,598.6350036621094,610.6225036621094
595.5,598.5,580.0,582.0999755859375,571.2006225585938,1137818,644.4189990234376,626.2592326638522,36.73403371833473,0.5280876466623122,-72.71190578654661,-14.819557459214138,-11.1346421192153,-13.865069344759295,2.7304272255439948,-20.997917641169895,590.1827607713852,-2.3240265689066364,-0.12824715805034947,-0.34808323316165857,22.50119093892622,-91.7591946887021,-5.7724792480469205,599.6499938964844,656.0,20.0,64.0,-44.0,596.6725036621094,618.7018888774386,574.6431184467802,0.16924796280670576,7.384079232786039,597.8250020345051,609.4475056966146,586.2024983723958,625.0,566.0,14.601030070668726,45568006,-0.254792339059174,-1621871.3443593066,-6910.156105809541,-362753.9097247816,594.6952709131518,663.7604989624024,680.9462688203378,25.6079537821877,0.8501081491517004,0.9783553072020499,595.5,602.9500122070312,615.4500122070312,584.5999755859375,41.82171034003061,44.89646784557007,50.36832694109115,25.937595203510156,-10.49097131933729,-11.531508572050598,-14.760945114180686,-20.9305976261644,598.5700042724609,600.0375061035156,599.4550048828125,606.5550018310547
585.0499877929688,587.4500122070312,575.0,578.5,567.6680908203125,879186,642.2969995117187,624.3863215789952,35.48509166173436,0.4848590630105418,-78.8135593220339,-18.526323744829938,-11.79922963458796,-13.451901402725028,1.6526717681370684,-22.189036585405262,589.9540521380289,-2.0984978679529394,-0.18530123556002653,-0.3350711682681268,22.459915226245304,-128.08010595759947,-10.66252746582029,601.5,656.0,16.0,60.0,-44.0,595.2625030517578,618.137799736758,572.3872063667576,0.13361124267408278,7.685784529589696,596.2458353678386,607.5758371988933,584.9158335367839,625.0,566.0,14.447385937551763,44688820,-0.22873648726632198,-1842325.171664841,-11364.065393737132,-368191.20274701907,593.8989718079821,662.594748840332,679.926902961429,25.817231732051106,0.8321605105000491,1.0174617460600757,582.0999755859375,598.5499877929688,611.6500244140625,567.75,36.73403371833473,43.08284984604177,48.657164307441334,21.476747548593053,-11.1346421192153,-10.881183492280115,-12.64183130770516,-22.070762012102932,596.6725036621094,599.452505493164,600.0425048828125,602.1175018310547
581.0,586.75,576.0,577.4500122070312,566.6376953125,817032,639.6559997558594,622.5456819957809,35.11013972124498,0.47188116604632324,-80.59319964909957,-19.78912030388335,-12.269213413483271,-13.215363804876677,0.946150391393406,-23.264487895410706,589.889198018942,-1.223052288317311,-0.15302795864269725,-0.32594273837031035,22.453164597153652,-112.43333497364762,-26.482504272460915,601.5,656.0,12.0,56.00000000000001,-44.00000000000001,594.2325042724609,618.3351713503502,570.1298371945717,0.15185404562914095,8.112200832029192,595.1833353678385,606.3758371988931,583.9908335367838,625.0,566.0,14.18328694201235,43871788,-0.21371026869470006,-1701689.23663627,197.35266026386128,-369674.13036407146,593.2083168431204,661.3739990234375,678.907232406659,26.011561256924267,0.8543197635417765,1.0073477221844738,578.5,595.5,602.9500122070312,578.4000244140625,35.48509166173436,41.82171034003061,44.89646784557007,29.705687310908132,-11.79922963458796,-10.49097131933729,-11.531508572050598,-21.862959945125567,595.2625030517578,598.5700042724609,600.0375061035156,598.3725036621094
