,Open,High,Low,Close,Adj Close,Volume,SMA_50,EMA_50,RSI,Stoch_RSI,Williams_R,Awesome_Oscillator,MACD,MACD_Signal,MACD_Diff,TSI,KAMA,ROC,Vortex_Diff,TRIX,Mass_Index,CCI,DPO,Ichimoku_A,Ichimoku_B,Aroon_Up,Aroon_Down,Aroon_Indicator,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_PBand,Bollinger_WBand,Keltner_Channel_Center,Keltner_Channel_Upper,Keltner_Channel_Lower,Donchian_Channel_Upper,Donchian_Channel_Lower,ATR,OBV,Chaikin_MF,Force_Index,Ease_of_Movement,Volume_Price_Trend,VWAP,SMA_200,EMA_200,ADX,Vortex_Pos,Vortex_Neg
0,137461.40625,137470.90625,137461.40625,137470.90625,137470.90625,2.0,137273.20375,137334.07976135498,53.4078956064855,0.12268766756450532,-65.33003792559765,209.65275735294563,77.56941605120664,91.216580975168,-13.647164923961355,15.588508826423048,137495.45589012676,0.12447651128914786,0.2008291248963594,0.009902574419260407,27.772946735050052,11.746439733341706,8.15859375000582,137595.2890625,137456.703125,64.0,12.0,52.0,137431.84140625,137800.97335863177,137062.7094538682,0.5529144706898773,0.5371854856992306,137437.59166666667,137539.72838541667,137335.45494791667,137950.0,137160.09375,122.54155778491706,887.0,0.04625371411110864,607.2896354280961,-17311523437.5,1.1437007079292625,137598.1392020336,137137.0953125,137106.3532220712,41.18740571176685,1.0385543076807116,0.8377251827843522
1,137474.25,137612.203125,137474.25,137612.203125,137612.203125,2.0,137282.4696875,137344.9865599293,59.716716529997875,0.4228566360540746,-51.88892089093702,178.62417279413785,81.4291631494707,89.25909741002855,-7.829934260557849,16.21191900334248,137498.74480551027,0.1252933098079162,0.2722238518719906,0.009782839776878728,27.8000797029351,45.49221951745388,172.00312499998836,137560.4140625,137456.703125,60.0,8.0,52.0,137447.996875,137819.0023909053,137076.9913590947,0.7212989335203065,0.539848559950577,137453.19947916668,137556.9791666667,137349.41979166667,137950.0,137160.09375,123.88122330028013,889.0,0.029728407177390222,560.904508938368,531604522705.0781,1.1457563701614302,137605.97506738544,137143.292578125,137111.38655443865,41.54001424987546,1.0548397020841234,0.7826158502121328
2,137604.953125,137604.953125,137506.796875,137506.796875,137506.796875,2.0,137293.3015625,137351.3320624811,53.857974454596096,0.14410208163874644,-73.8671875,151.4013786764699,75.11673807661282,86.4306255433454,-11.31388746673258,14.861105257802299,137498.94246526613,-0.08225775686673449,0.26676016234249167,0.009558258559747639,27.966516199190632,30.610306827712712,271.6156250000058,137560.4140625,137456.703125,56.00000000000001,4.0,52.00000000000001,137458.884375,137823.31462855637,137094.45412144362,0.565736172467078,0.5302389222979267,137467.24296875,137571.3703125,137363.115625,137950.0,137160.09375,122.56158235026011,887.0,0.01739522704631675,450.6592219471726,62076159667.96875,1.1442244384343543,137625.72413690478,137149.81578125,137115.320985489,41.867436463833464,1.0657586253302451,0.7989984629877535
3,137509.046875,137510.546875,137509.046875,137510.546875,137510.546875,2.0,137300.9134375,137357.57578061908,54.03076711979415,0.15232342706983318,-82.90835126610264,152.77757352939807,69.61421999300364,83.06734443327704,-13.453124440273399,13.846609801764934,137499.3880056396,-0.15969819684093212,0.19427110516084634,0.009259760989000436,28.089759276384427,11.913913223220163,133.59296874998836,137560.4140625,137456.703125,52.0,20.0,32.0,137476.40703125,137814.43050830832,137138.3835541917,0.5504992198280058,0.49175488995936295,137484.740625,137588.94296875,137380.53828125,137950.0,137169.546875,114.07504075381296,889.0,0.02241362313349664,387.3507616690051,-3455859375.0,1.144278981192752,137635.24466765873,137155.868515625,137119.25358140454,42.17147137679446,1.0697391212265615,0.8754680160657151
4,137510.046875,137510.546875,137509.046875,137510.546875,137510.546875,3.0,137310.7334375,137363.5746470654,54.03076711979415,0.15232342706983318,-82.90835126610264,143.2373161764699,64.50980588197126,79.35583672301588,-14.846030841044623,13.03023981689101,137499.6794346124,-0.07227172807208779,0.05619575922356246,0.008906491963370467,27.80383561472695,5.203250548241138,156.41171874999418,137557.6640625,137469.3984375,48.0,16.0,32.0,137493.43203125,137800.94181200716,137185.92225049285,0.5278281290888596,0.44730832042546786,137500.24973958335,137600.05442708335,137400.44505208335,137950.0,137169.546875,106.03396641425489,892.0,0.037338996267825,332.01493857343297,0.0,1.144278981192752,137661.5964091069,137161.86125,137123.14704701246,42.45378951025824,1.0291248242830326,0.9729290650594702
5,137508.40625,137589.953125,137486.84375,137589.953125,137589.953125,3.0,137319.9534375,137372.4522344354,57.90227428996602,0.47990132304507654,-62.50990661934461,147.1276194853126,66.10986826356384,76.70664303112548,-10.59677476756164,13.432683917052039,137501.01971035788,-0.043509402821243666,-0.14630699149957294,0.008627236086108466,27.516590207337295,22.27235865976042,92.00078125001164,137555.26171875,137484.7734375,44.0,12.0,32.0,137514.45234375,137785.88888611455,137243.01580138542,0.6390763023141648,0.3947752948701638,137519.54322916665,137624.47838541665,137414.60807291666,137950.0,137216.65625,105.82506702752241,895.0,0.06551706926867921,318.6154830629426,98302974446.6146,1.1460113483123198,137570.83517992427,137167.96875,137127.79188360934,43.07107899010551,0.9638935209663644,1.1102005124659373
6,137463.203125,137463.25,137463.203125,137463.25,137463.25,7.0,137326.8184375,137376.01293112422,50.58201800121462,0.0,-86.2091275568606,121.57959558823495,56.50271778460592,72.66585798182157,-16.163140197215654,11.54189864595907,137499.95666387936,-0.10406715800596653,-0.23859958483069577,0.008212527305387655,26.952362470689437,-46.61094159918539,124.73515625001164,137535.5625,137488.453125,40.0,8.0,32.0,137525.26484375,137769.04413054738,137281.4855569526,0.3728053466627584,0.3545229119527416,137530.34817708333,137635.26536458332,137425.4309895833,137950.0,137216.65625,107.31970509698509,888.0,0.10356130429208497,146.3958604825222,-50338309.15178571,1.139565224486736,137522.42755149814,137173.53421875,137131.12977531474,43.334122038937416,0.8276489364076695,1.0662485212383652
7,137463.203125,137463.203125,137462.046875,137462.046875,137462.046875,3.0,137333.479375,137379.3868112762,50.51670888284718,0.0,-86.59234559299259,95.11433823528932,48.23586663688184,67.77985971283363,-19.54399307595179,10.010664588231979,137498.74301576827,-0.13654422448238285,-0.023585999780254663,0.007707174797313882,26.275461388867217,-63.791062197777606,43.80937500001164,137535.5625,137488.453125,36.0,4.0,32.0,137537.534375,137738.97326044753,137336.09548955245,0.31262927504717736,0.29292205413296313,137542.13125,137645.5890625,137438.6734375,137950.0,137299.0,99.73994937577187,885.0,0.11767334143136995,124.96654112787618,-23185221.354166664,1.1395389674689513,137515.36057231802,137179.191171875,137134.4224827743,43.562533389563704,0.8742080011719752,0.8977940009522298
8,137490.25,137490.546875,137490.25,137490.546875,137490.546875,7.0,137339.2884375,137383.74602946144,52.09461372126311,0.11314496514307446,-77.5145573085154,80.5126838235301,43.4827967446472,62.920447119196346,-19.437650374549143,9.173103176357202,137498.58876669675,-0.06599504883815324,-0.0507856445252135,0.007188301365490041,25.79625885891958,-55.34032461190355,44.18828125001164,137545.92578125,137488.453125,32.0,8.0,24.0,137547.06171875,137718.44314313587,137375.6802943641,0.33511969295242744,0.2491967799883834,137551.6703125,137655.09296875,137448.24765625,137950.0,137350.0,94.65138156321675,892.0,0.0800274039991084,135.61417810960816,117789132.25446428,1.1409902771543186,137502.40482390873,137185.17765625,137137.9660090651,43.91618584181433,0.8445647739494864,0.8953504184746999
9,137491.953125,137573.953125,137491.953125,137573.84375,137573.84375,7.0,137349.0771875,137391.2008420316,56.46417232570514,0.5916738559946303,-47.07115219260533,75.19011948531261,45.908116096950835,59.51798091474725,-13.609864817796414,9.69968552923935,137502.0303828245,-0.012650695447566614,-0.08939413346996283,0.006787045282339454,25.381355998850097,-11.742321311023108,-128.66015625,137548.44921875,137488.453125,28.000000000000004,4.0,24.000000000000004,137553.75390625,137718.20287780536,137389.30493469464,0.5610823027957837,0.2391050289582719,137558.43281250002,137661.25546875002,137455.61015625,137950.0,137419.953125,93.84815788012983,899.0,0.06107460340665962,199.53759909394986,49849776785.71429,1.1452311368952433,137492.64918154763,137191.546875,137142.3031010147,44.64374298311209,0.8382861534520303,0.9276802869219931
10,137590.0,137590.0,137500.546875,137500.546875,137500.546875,25.0,137354.468125,137395.48892175584,51.97192690311463,0.14477002938092282,-70.26575200322823,64.72757352940971,41.43808150291443,55.90200103238068,-14.463919529466253,8.832835296386309,137502.01774993003,0.05490491069794158,-0.029057744313060074,0.006364359946792643,25.32582231677941,-25.678041052855644,-127.828125,137546.63671875,137517.203125,24.0,8.0,16.0,137547.78125,137710.8433927627,137384.7191072373,0.3551644967994271,0.23709890669385805,137556.434375,137653.1796875,137459.6890625,137950.0,137419.953125,93.53422696012056,874.0,-0.2583914573429755,-90.74232577661436,4408361816.40625,1.131911585554292,137495.39818709937,137196.096328125,137145.86771568123,45.391438027815866,0.862797603266345,0.8918553475794051
11,137500.046875,137550.0,137500.046875,137501.0,137501.0,6.0,137362.23,137399.62661109876,51.997352604760124,0.16093940121577036,-57.84297789336801,68.86567095588543,37.49983552179765,52.22156793026407,-14.721732408466423,8.13725319259221,137501.9778901666,0.05897751611534761,-0.059163583048243984,0.0059337020432979354,25.420450117486894,-32.43903680093161,-65.39999999999418,137554.67578125,137531.0234375,20.0,4.0,16.0,137536.30625,137677.1005277686,137395.51197223138,0.37461759611417467,0.20473761671727492,137545.48776041664,137623.59791666665,137467.37760416666,137873.40625,137419.953125,90.42129110582623,880.0,-0.45708593610156545,-77.39074352281231,-16859179687.5,1.1319313582029238,137495.40371750767,137199.671328125,137149.40137025158,46.07755544037813,0.8539132863226978,0.9130768693709418
12,137549.0,137599.953125,137549.0,137599.953125,137599.953125,7.0,137369.638125,137407.48255282038,57.31205777346269,0.7386242654613527,-6.371911573472041,78.39246323530097,41.880663194460794,50.15338698310342,-8.272723788642622,9.068721222165852,137505.07199201942,0.09387213521770174,0.19976179842191455,0.005645264220598356,25.521317154266423,55.203139070498274,76.39921875001164,137557.1640625,137531.0234375,16.0,4.0,12.0,137535.80390625,137675.61109646942,137395.99671603055,0.7294203132518645,0.2033029745690561,137539.74609375,137607.23359375,137472.25859375,137733.90625,137419.953125,91.03070781255292,887.0,-0.2806887462274882,32.618201980446585,35997017996.65179,1.1369689352023638,137514.08599411233,137205.028359375,137153.8844722889,46.95097334726935,0.9187137114783386,0.718951913056424
13,137598.34375,137598.34375,137525.59375,137590.0,137590.0,4.0,137376.438125,137414.64009976859,56.632858677337495,0.6647983381170914,-14.72386281214382,81.98685661764466,44.04168159107212,48.93104590469716,-4.8893643136250375,9.642216605321584,137507.24247930592,-0.016134561104171698,0.10674816625916872,0.005439301801178345,25.79649872939496,44.38677103138014,-26.01484374998836,137577.75,137531.0234375,12.0,44.0,-32.0,137532.81171875,137665.08667411178,137400.5367633882,0.7161719922474882,0.19235403349753127,137537.84192708333,137602.8997395833,137472.78411458334,137733.90625,137419.953125,89.839898325942,883.0,-0.2960608757339453,22.27095884038279,-22748583984.375,1.1366796000747288,137524.7541015625,137209.486640625,137158.2239302761,47.35754924755457,0.8879217603911981,0.7811735941320294
14,137588.59375,137588.59375,137588.59375,137588.59375,137588.59375,6.0,137383.21,137421.4618115424,56.53092329962645,0.6537184149669607,-15.723204994797086,82.27398897061357,45.120708179980284,48.16897835975379,-3.0482701797735032,10.087965995907721,137509.27116235625,0.05948569587753333,0.251327798690249,0.00528480346878295,25.619534082111517,69.76796532229254,-21.37187500001164,137590.5,137531.0234375,8.0,40.0,-32.0,137531.91875,137662.4223511089,137401.41514889113,0.7171396019666286,0.18977936510302834,137536.93411458333,137601.83645833333,137472.03177083333,137733.90625,137419.953125,83.52320915980329,877.0,-0.28397398289146747,17.884036148899536,0.0,1.1366182765773813,137530.67156498015,137214.19484375,137162.50621703954,47.73508401210513,0.9495694322693755,0.6982416335791265
15,137588.40625,137600.0,137588.40625,137600.0,137600.0,3.0,137391.1259375,137428.46330912897,57.20378658367488,0.9054252900369842,-3.4659960638530505,81.54062499999418,46.36180356240948,47.80754340028493,-1.4457398378754505,10.640210589883079,137509.82908961622,0.06505182841088894,0.11834877100124308,0.0051772951468109325,24.824726673870533,90.71607622840716,-18.87187500001164,137608.0,137531.0234375,4.0,36.0,-32.0,137529.41875,137652.48200569558,137406.35549430444,0.7867681730060483,0.17896280928703906,137533.55833333335,137592.69739583335,137474.41927083334,137710.703125,137419.953125,78.38539064838876,880.0,-0.2534268338340514,20.217566699056746,2167789713.541667,1.1368669799696272,137532.1456495098,137219.64484375,137166.8593890093,48.152678556319124,0.9287461405830226,0.8103973695817795
16,137579.5,137579.5,137579.5,137579.5,137579.5,1.0,137398.6290625,137434.3863166141,55.53981277949546,0.6801244887502563,-14.860120058896817,82.55197610295727,45.17050446246867,47.28013561272168,-2.1096311502530085,10.691799417561938,137515.186543266,0.05014388100912714,0.07969579695796958,0.005066631058972808,23.356855849984736,73.38336140220827,60.62656249999418,137615.05078125,137531.0234375,16.0,32.0,-16.0,137529.3265625,137652.23675777917,137406.41636722084,0.7041060848778021,0.17874034338895944,137531.33098958334,137583.93958333335,137478.72239583335,137691.0,137419.953125,74.25071988778957,879.0,-0.22372769309538182,14.400771456334356,-0.0,1.1367179974114876,137532.53391617062,137224.71484375,137170.96526573558,48.36065649478207,0.8669111691116911,0.7872153721537215
17,137579.5,137600.0,137579.0,137579.0,137579.0,4.0,137406.0090625,137440.05744145278,55.49740990985325,0.6743831721001677,-15.222562011552837,72.92706801468739,43.68250084327883,46.56060865883311,-2.87810781555428,10.72501731052364,137520.15555027916,-0.007960701164022583,0.23535610784227634,0.004947996266101558,22.106967188265486,89.97955264234155,-65.46406249998836,137596.328125,137531.0234375,12.0,28.000000000000004,-16.000000000000004,137528.7140625,137650.5007741512,137406.92735084877,0.7064508385940463,0.17710732261464274,137529.40598958335,137578.07708333334,137480.73489583336,137612.203125,137419.953125,70.44709703866174,875.0,-0.24110692384697774,12.057804105429447,5250000000.0,1.1367034603619999,137535.54366521316,137230.00984375,137175.02531284268,48.690236432363214,0.8694344427856328,0.6340783349433564
18,137562.34375,137699.5,137562.34375,137582.90625,137582.90625,13.0,137413.4671875,137445.65935551346,55.78144376568534,0.7128411425025839,-49.10179640718563,74.47803308823495,42.33048945109476,45.71458481728544,-3.384095366190678,10.821761408773419,137524.00425147102,0.08704599229248544,0.29544532546560953,0.004825001224179221,21.657251868273708,124.73093316035715,-74.55781249998836,137588.3515625,137531.0234375,8.0,24.0,-16.0,137536.6046875,137650.7225217238,137422.48685327618,0.7028673380236216,0.16594539974736525,137537.68541666667,137589.3541666667,137486.01666666666,137699.5,137419.953125,75.2120365359002,888.0,-0.15292120540285706,17.589724947510955,43702069561.29808,1.137072566475579,137547.0888671875,137235.639375,137179.0838296303,49.56553364978622,0.8706804351834778,0.5752351097178683
19,137601.046875,137601.046875,137601.046875,137601.046875,137601.046875,3.0,137421.288125,137451.75298372863,57.149236463052766,0.9760393008466742,-41.46213068368757,64.2848345588136,42.23593791076564,45.01885543598148,-2.7829175252158365,11.235129832155193,137525.37100529738,0.10111882018343472,0.17496720773897356,0.004720715615265799,21.371093092068772,93.92350093581693,-55.11249999998836,137588.3515625,137531.0234375,4.0,20.0,-16.0,137545.659375,137649.60153355103,137441.71721644895,0.7664342398316301,0.15113840600037864,137543.98515625,137587.3890625,137500.58125,137699.5,137461.40625,71.13550714047875,891.0,-0.02553916604137652,22.851460669295108,-0.0,1.1374681234272623,137548.5096028646,137240.701875,137183.28246689768,50.378309637393286,0.912362682406952,0.7373954746679784
20,137680.0,137680.0,137601.046875,137601.046875,137601.046875,7.0,137430.5790625,137457.60764613145,57.149236463052766,0.9760393008466742,-41.46213068368757,61.980652573518455,41.68053783889627,44.351191916564446,-2.670654077668175,11.591416751214668,137539.41525779825,0.08036916174350624,0.4415192530557803,0.004624217215794375,21.28377003858165,126.29188124869239,21.67734374999418,137594.73828125,137531.0234375,24.0,16.0,8.0,137552.16640625,137652.81706741665,137451.51574508336,0.742822392736526,0.14634543940133482,137551.96640625,137598.84296875,137505.08984375,137699.5,137462.046875,71.69390841615883,898.0,-0.1026896370830558,19.586966287967236,44525685337.6116,1.1374681234272623,137560.47743055553,137246.36734375,137187.4393266798,51.509416408732136,1.0508604290118733,0.6093411759560929
21,137550.0,137550.0,137550.0,137550.0,137550.0,6.0,137439.0590625,137461.23087569492,51.909068152781295,0.0,-71.44563918757467,46.72265625,36.698288063606014,42.82061114597276,-6.122323082366748,10.634758623417726,137539.8438872622,-0.01733160123324678,0.31101935694867433,0.004455525745744853,21.040865086576492,-1.965748918419558,-48.50937499999418,137588.9375,137531.0234375,20.0,12.0,8.0,137549.05625,137645.8649296173,137452.2475703827,0.5048743046787572,0.14076240471086635,137551.15546875,137591.134375,137511.1765625,137699.5,137462.046875,70.21912031500463,892.0,-0.11604460726513796,-26.965636038885226,-0.0,1.1352422591845417,137562.81349957912,137251.79734375,137191.04689556855,51.540182470126545,1.0491180017578643,0.73809864480919
22,137353.15625,137470.0,137301.203125,137301.203125,137301.203125,78.0,137442.31125,137454.95527762844,35.043454191483804,0.0,-100.0,3.4105698529456276,12.529557748930529,36.762400466564316,-24.232842717633787,3.845034570926295,137465.9419644022,-0.1449766961154132,0.06854749135222615,0.003883591913770066,21.324799042266275,-248.41395175725538,-37.77656249998836,137500.3515625,137531.0234375,16.0,100.0,-84.0,137538.7765625,137683.2698007786,137394.28332422138,-0.3220918858566522,0.21011272877354153,137542.053125,137585.5640625,137498.5421875,137699.5,137301.203125,82.97467422107573,814.0,-0.4605605552028278,-2795.42143803333,-35576849365.234375,0.9941578807766884,137471.57625612745,137256.250859375,137192.14297745345,48.196787460472066,0.8667132112595601,0.798165719907334
